0,1
Freddie Mac,https://careers.freddiemac.com/us/en/job/JR4612/Quantitative-Analytics-Professional-Data-Engineering
Phillips 66,https://phillips66.jobs/senior-data-engineer/jobs-in/usa/jobs/%3Fq%3Dproject%2Bengineer
Lockheed Martin,https://www.lockheedmartinjobs.com/job/fort-worth/data-engineer-level-2/694/22549838768
Walt Disney,https://jobs.disneycareers.com/job/orlando/data-engineer/391/11776045760
Archer Daniels Midland,https://archerdanielsmidland.dejobs.org/2BB232A8C6284AF08008C3BE25D7961A23
Albertsons,https://www.linkedin.com/jobs/view/data-engineer-at-albertsons-companies-2891926785
Valero Energy,https://www.valero.com/careers
Boeing,https://jobs.boeing.com/job/arlington/data-engineer/185/2717533888
Prudential Financial,https://jobs.prudential.com/us-en/job-categories/data
Hewlett-Packard,https://www.linkedin.com/jobs/hewlett-packard-data-analyst-jobs
Raytheon,https://careers.rtx.com/global/en/job/01500353/Data-Engineer-REMOTE
StoneX,https://www.indeed.com/cmp/Stonex-Group/salaries/Data-Engineer
Goldman Sachs Group,https://www.goldmansachs.com/careers/divisions/engineering/
Sysco,https://www.builtinaustin.com/job/data/data-engineer/93939
Morgan Stanley,https://hired.com/job/data-engineering-engineering
HCA,https://www.indeed.com/cmp/HCA-Healthcare/salaries/Data-Engineer
Cisco Systems,https://www.linkedin.com/jobs/cisco-data-engineer-jobs
Charter,https://www.spectruminc.com/careers/detail/%3Fid%3D798088798383451860
Merck,https://jobs.merck.com/us/en/data-advanced-analytics
Best Buy,https://jobs.bestbuy.com/bby/frundefined%3Fid%3Djob_details%26sys_id%3D6db823d7dbf8c110b3574b7c13961988
New York Life Insurance,https://www.newyorklife.com/careers
AbbVie,https://abbvie.referrals.selectminds.com/jobs/data-engineer-3486
Publix Super Markets,https://www.linkedin.com/jobs/view/senior-cloud-data-engineer-%25E2%2580%2593-customer-digital-solutions-virtual-remote-at-publix-super-markets-2928801833
Allstate,https://careers.allstate.com/job/Chandler-Lead-Data-Engineer-AZ-85224/725815200/
Liberty Mutual,https://www.indeed.com/cmp/Liberty-Mutual-Insurance/reviews%3Ffjobtitle%3DData%2BEngineer%26ftopic%3Dpaybenefits
AIG,https://www.indeed.com/cmp/AIG/salaries/Data-Engineer
Tyson Foods,https://www.tysonfoods.com/technology-careers
Progressive,https://www.progressive.com/careers/our-teams/data-and-analytics/
Bristol-Myers Squibb,https://www.disabledperson.com/jobs/22822270-associate-data-engineer
Nationwide,https://www.linkedin.com/jobs/view/data-engineer-at-nationwide-2837961679
Pfizer,https://www.linkedin.com/jobs/pfizer-data-scientist-jobs
Caterpillar,https://www.caterpillar.com/en/careers/careersnews/matt-fletcher.html
TIAA,https://careers.tiaa.org/tiaagbs/global/en/job/R220100540/Associate-Data-Engineer
Oracle,https://www.oracle.com/corporate/careers/opportunities/engineering-development.html
Energy Transfer,https://energytransfer.referrals.selectminds.com/jobs/engineer-gas-operations-data-5356
Dow,https://www.linkedin.com/jobs/view/siem-data-engineer-at-dow-2879383150
American Express,https://www.americanexpress.com/en-us/careers/career-areas/technology/
General Dynamics,https://www.gd.com/careers/job-search
Nike,https://www.linkedin.com/jobs/nike-data-engineer-jobs
Northrop Grumman,https://www.northropgrumman.com/jobs/
USAA,https://www.linkedin.com/jobs/usaa-data-engineer-jobs%3Ftrk%3Dguest_job_details_related_jserp_link
Deere,https://deerecareers.jobs/data-engineer/jobs-in/
Abbott Laboratories,https://www.jobs.abbott/global/de/job/31012741/Data-Engineer
Northwestern Mutual,https://www.indeed.com/cmp/Northwestern-Mutual/salaries/Data-Engineer
Dollar General,https://careers.dollargeneral.com/
Exelon,https://careers.exeloncorp.com/search/jobs
Coca-Cola,https://careers.coca-colacompany.com/job/15152928/senior-data-engineer-escazu-cr/
Honeywell International,https://careers.honeywell.com/us/en/job/HRD142874/Data-Warehouse-Engineer
Thermo Fisher Scientific,https://jobs.thermofisher.com/global/en/job/195893BR/Data-Engineer
3M,https://www.3m.com/3M/en_US/careers-us/students/corporate-engineering/
TJX,https://lensa.com/sr-data-engineer-jobs/marlborough/jd/3592c008c2bfe14a011a38033aab49f4
Travelers,https://www.linkedin.com/jobs/travelers-data-engineer-jobs
Capital One,https://www.capitalonecareers.com/category/engineering-jobs/1732/29016/1
Tesla,https://www.tesla.com/careers/search/job/data-engineer-94691
Philip Morris International,https://www.pmi.com/careers/job-details%3Fid%3D42150
Arrow Electronics,https://careers.arrow.com/us/en/job/R197980/Big-Data-Engineer-I
CHS,https://www.linkedin.com/jobs/view/big-data-engineer-at-chs-inc-2924545730
Jabil,https://careers.jabil.com/en/jobs/job/j2298499-data-engineer/
Enterprise Products,https://www.enterpriseproducts.com/careers/job-postings/
Hewlett Packard Enterprise,https://www.indeed.com/cmp/Hewlett-Packard-Enterprise/reviews%3Ffcountry%3DALL%26fjobtitle%3DData%2BEngineer
United Natural Foods,https://jobsearcher.com/j/data-at-united-natural-foods-in-hopkins-mn-dOlV2Zd
Mondelez International,https://in.linkedin.com/jobs/view/data-engineer-supply-chain-at-mondel%25C4%2593z-international-2875155321
Viacom,https://careers.viacomcbs.com/CBS/job/New-York-Data-Engineer-NY-10019/806994400/
Kraft Heinz,https://boards.greenhouse.io/kraftheinz/jobs/4297782003%3Fgh_src%3Dd83e73f23us
Dollar Tree,https://www.comparably.com/companies/dollar-tree/salaries/data-scientist
Amgen,https://www.linkedin.com/jobs/amgen-data-engineer-jobs
U.S. Bancorp,https://www.linkedin.com/jobs/u-s-bank-data-engineer-jobs%3Ftrk%3Dguest_job_details_related_jserp_link
Performance Food Group,"https://www.indeed.com/q-Performance-Food-Group-l-Livermore,-CA-jobs.html"
Netflix,https://jobs.netflix.com/teams/data-science-and-engineering
Gilead Sciences,https://www.linkedin.com/jobs/view/data-engineer-intern-at-gilead-sciences-2898071513
Synnex,https://www.synnexcorp.com/careers/
Eli Lilly,https://careers.lilly.com/job/bengaluru/r-data-engineer/410/24597210800
Truist Financial,http://jobs.truist.com/atlanta-ga/data-engineer-iii-data-analytics-sales-enablement-atlanta-ga-richmond-va/7e26635b0547414cab570ef124abafef/job/
PNC Financial Services,https://www.indeed.com/cmp/Pnc-Financial-Services-Group/salaries/Data-Engineer
Broadcom,https://www.linkedin.com/jobs/view/data-systems-engineer-at-broadcom-inc-2892569692
CB Richard Ellis,https://getwork.com/details/98f3e27aa5bc79d01e026e3c87baa217
Massachusetts Mutual,https://careers.massmutual.com/job/13505144/data-engineer-advanced-boston-ma/
Qualcomm,https://www.linkedin.com/jobs/qualcomm-data-engineer-jobs%3Ftrk%3Djobs_jserp_breadcrumb
Starbucks,https://starbucks.taleo.net/careersection/1000222/jobdetail.ftl%3Fjob%3D1373471
Duke Energy,https://www.duke-energy.com/our-company/careers
Plains GP Holdings,https://www.plains.com/careers/career-opportunities
US Foods,https://www.usfoods.com/careers.html
Lennar,https://careers.lennar.com/en-US/search%3Fkeywords%3DSoftware%2520Engineer
Danaher,https://jobs.danaher.com/global/en/job/R1183221/Data-Engineer-Clinical-Decision-Support-Solutions-REMOTE
Aflac,https://careers.aflac.com/
Rite Aid,https://careers.riteaid.com/jobs/162241%3Futm_source%3Dwebscribble
Visa,https://usa.visa.com/careers/job-details.jobid.743999725942771.deptid.1146504.html
PayPal,https://www.linkedin.com/jobs/paypal-data-engineer-jobs
Micron Technology,https://www.linkedin.com/jobs/micron-technology-data-engineer-jobs
CarMax,https://careers.carmax.com/us/en/carmax-product-technology-and-data-science-careers-technology
Salesforce,https://www.linkedin.com/jobs/salesforce-senior-data-engineer-jobs
Altria Group,https://lensa.com/data-engineer-jobs/richmond/jd/48e38a358f40d7930a370e79d2232839
Lumen Technologies,https://lumen.me/careers/4321679003
Baker Hughes,https://careers.bakerhughes.com/global/en/c/digital-technology-jobs%3Ffrom%3D40%26s%3D1
International Paper,https://jobs.internationalpaper.com/
Hartford Financial Services,https://lensa.com/data-engineer-jobs/hartford/jd/6e5767b55ceeb2d968f7254c85f05ba1
Penske Automotive Group,https://penske.jobs/tampa-fl/data-engineer/673EEB7001F14202BF6DFFB1EA5B48DA/job/
DuPont,https://www.indeed.com/m/jobs%3Fl%3DDupont%252C%2BCO%26q%3Ddata%2Bengineer
AutoNation,https://lensa.com/data-engineer-jobs/fort-lauderdale/jd/5a835183feee34bcd78735b4837f6dab
Southern,https://www.discoverdatascience.org/career-information/data-engineer/
World Fuel Services,https://www.wfscorp.com/en/Careers
D.R. Horton,https://www.drhorton.com/careers
Nucor,https://www.nucor.com/careers/
Cummins,https://cummins.jobs/data-engineer/jobs-in/
NGL Energy Partners,"https://www.ziprecruiter.com/c/NGL-Energy-Partners/Job/Engineering-Analyst/-in-Denver,CO%3Fjid%3D77559bbc4c92807a"
DXC Technology,https://www.comparably.com/companies/dxc-technology/jobs/big-data-engineer
Union Pacific,https://up.jobs/job/opening/Associate%2BSystems%2BEngineer/Omaha/NE/087862
Whirlpool,https://jobs.whirlpool.com/job/Wroc%25C5%2582aw-Senior-Data-Engineer-51-210/794682700/
Molina Healthcare,https://hired.com/job/sr-engineer-big-data
ConocoPhillips,https://careers.conocophillips.com/career-areas/information-technology-careers/
McDonald's,https://jobs.smartrecruiters.com/McDonaldsCorporation/743999737892032-data-engineer
Kimberly-Clark,https://www.linkedin.com/jobs/view/senior-cloud-data-engineer-at-kimberly-clark-2829336042
Paccar,https://jobs.paccar.com/job/Bellevue-Data-Engineer-Job-WA-98004/708990501/
PG&E,https://jobs.pge.com/job/san-francisco/data-engineer/29673/16192361248
CDW,https://www.indeed.com/cmp/Cdw/salaries/Data-Engineer
Sherwin-Williams,https://www.linkedin.com/jobs/view/data-engineering-operations-developer-at-sherwin-williams-2929804009
L3Harris Technologies,https://careers.l3harris.com/business/multivaluefield1/is/4832/5
Macy's,https://www.indeed.com/cmp/Macy's/salaries/Data-Engineer
Manpower,https://www.manpower.com/ManpowerUSA/jobs%3FcategoryID%3DEngineering
NextEra Energy,https://jobs.nexteraenergy.com/go/Engineering-Jobs/2673700/
Tenet Healthcare,https://jobs.tenethealth.com/job/frisco/data-engineer-remote/1127/20025715136
Avnet,https://www.linkedin.com/jobs/view/sr-data-engineer-at-avnet-2884627632
General Mills,https://www.indeed.com/cmp/General-Mills/salaries/Data-Engineer
WestRock,https://lensa.com/sr-data-engineer-jobs/norcross/jd/786bda03079a080ee5336399c62d6366
Carrier,https://www.amazon.jobs/jobs/1968126/data-engineer-alpaca-ats-lh-performance-aces-and-carrier-analytics
Lincoln National,https://jobs.lincolnfinancial.com/job/Greensboro-Data-Engineer-Summer-Internship-%2528June-2022%2529-NC-27395/832557100/
Genuine Parts,https://lensa.com/engineer-data-digital-jobs/atlanta/jd/b300307100d1a80928c38bdcc9bc99aa
American Airlines Group,https://jobs.aa.com/job/Ft-Worth-Data-EngineerSenior-Data-Engineer%252C-IT-Analytics-TX-76101/835915100/
Marsh & McLennan,https://careers.marshmclennan.com/eu/en/job/R_136362/Life-Actuarial-Data-Engineer-Data-Scientist
Applied Materials,https://www.appliedmaterials.com/en-il/company/careers
Becton Dickinson,https://lensa.com/data-engineer-jobs/franklin-lakes/jd/638e193bce34f5ae7d67e49cad65d821
Delta Air Lines,https://lensa.com/data-engineer-jobs/atlanta/jd/ea62fdc09af99a2ba751ef21008cdfb7
Lear,https://www.coursera.org/learning-paths/data-engineering
Bank of New York Mellon,https://www.linkedin.com/jobs/bny-mellon-data-scientist-jobs
Emerson Electric,https://www.emerson.com/en-us/careers
Western Digital,https://jobs.smartrecruiters.com/WesternDigital/743999746565142-engineer-data-engineering
Occidental Petroleum,https://www.oxy.com/careers/
Nvidia,https://www.linkedin.com/jobs/view/data-engineer-data-science-platform-new-college-grad-at-nvidia-2805977646
Cognizant,https://careers.cognizant.com/studentandinterns/na/en/job/37609/Data-Engineer
Jones Lang LaSalle,https://www.linkedin.com/jobs/view/data-engineer-remote-at-jones-lang-lasalle-2944139229
Synchrony Financial,https://www.indeed.com/cmp/Synchrony/salaries/Data-Engineer
Colgate-Palmolive,https://www.indeed.com/cmp/Colgate--palmolive/salaries/Data-Engineer
AECOM,https://aecom.com/careers/
XPO Logistics,https://www.interviewquery.com/interview-guides/xpo-logistics-data-engineer
CH Robinson,https://jobs.chrobinson.com/job/eden-prairie/data-engineer-iii-remote/209/23756873792
BlackRock,https://careers.blackrock.com/job/13448969/data-engineer-seattle-wa/
Dominion Energy,https://careers.dominionenergy.com/go/Database-Jobs-in-Richmond/3472500/
Rocket Companies,https://www.indeed.com/cmp/Rocket-Companies/salaries/Data-Engineer%3Ffrom%3Dacme-salaries-v2
Kohl's,https://www.indeed.com/cmp/Kohl's/salaries/Data-Engineer
Fluor,https://www.fluor.com/careers
DISH Network,https://jobs.dish.com/jobs/54815%3Flang%3Den-us
BJ's Wholesale Club,https://www.indeed.com/cmp/Bj's-Wholesale-Club/salaries/Data-Engineer
Tenneco,https://jobs.tenneco.com/search/jobdetails/azure-data-engineer/f4c81bfa-c4d5-4792-a1fe-bf8be80f97c9
United Airlines,https://www.indeed.com/cmp/United-Airlines/salaries/Data-Engineer
Mastercard,https://mastercard.jobs/data-engineer/jobs-in/
Waste Management,https://careers.wm.com/jobs/data-engineer-4205
PBF Energy,https://www.linkedin.com/jobs/view/process-engineer-at-pbf-energy-2910271912
American Electric Power,https://www.aep.com/careers/positions
Fiserv,"https://www.ziprecruiter.com/c/Fiserv/Job/Implementations-Data-Engineer/-in-Frisco,TX%3Fjid%3Dfeeba55a6064c4a6"
Principal Financial,https://www.zippia.com/austin-tx-jobs/data-engineer-dlp/%3F574a7035106378deaaa44cefd1b9bc828920cc2f
Reinsurance Group of America,https://www.rgare.com/careers
ADP,https://jobs.adp.com/job/13664004/lead-architect-global-marketing-operations-roseland-nj/
Stanley Black & Decker,https://www.stanleyblackanddecker.com/careers/working-here/explore-your-career-us-technology-data
Texas Instruments,https://careers.ti.com/
Halliburton,https://www.rigzone.com/a-data-engineer-jobs/%3Ffc%3DHalliburton
Stryker,https://www.datayoshi.com/offer/372952/data-engineer
Estee Lauder,https://jobs.elcompanies.com/jobs/223249%3Flang%3Den-us
Corteva,https://careers.corteva.com/job-en/15056637/data-engineer-des-moines-ia/
Freeport-McMoRan,https://www.fcx.com/careers
Qurate Retail,https://careers.qurateretailgroup.com/job/11664839/software-development-engineer-big-data-seattle-wa/
Wayfair,https://www.wayfair.com/careers/job/staff-data-engineer/4906160002
Laboratory of America,"https://www.ziprecruiter.com/c/Laboratory-Corporation-of-America/Job/Data-Engineer-I/-in-Madison,WI%3Fjid%3Df5c3f5b2cb2e7baa%26lvk%3DlFJd3uldBXQnD_eVJ-QVkQ.--MJrEEx--F"
Land O'Lakes,https://www.linkedin.com/jobs/view/lead-data-engineer-at-land-o-lakes-inc-2865910656
PPG,https://careers.ppg.com/jobs/data-engineer-2-28656
Gap,https://www.gapinc.com/en-us/jobs/w78/53/sr-data-engineer-gap-data-platform
Kellogg,"https://www.indeed.com/q-Data-Engineer-l-Kellogg,-GA-jobs.html"
Parker Hannifin,https://www.linkedin.com/jobs/view/data-engineer-etl-and-integrations-at-parker-hannifin-2907636064
Core-Mark,https://jobsearcher.com/jobs/me/gardiner/-/core-mark-data%3FsortBy%3DrelevanceBoostActive%26status%3Dall
Jacobs Engineering Group,https://careers.jacobs.com/
Edison International,https://www.edisoncareers.com/page/show/data-scientist
Guardian Life of America,https://lensa.com/sr-data-engineer-jobs/new-york/jd/4ab48bc2e3702bf56bb9fc58d70e5ca6
Biogen,https://jobs.smartrecruiters.com/Biogen/743999701402720-sr-data-engineer-lead-developer-data-access-delivery
Omnicom,https://www.linkedin.com/jobs/view/senior-data-engineer-at-omnicom-media-group-2926685132
Unum Group,https://careers.unum.com/global/en/search-results
Lithia Motors,https://lithiacareers.com/
American Family Insurance,https://www.linkedin.com/jobs/view/data-engineer-i-remote-at-american-family-insurance-2896667899
Discover Financial Services,https://www.linkedin.com/jobs/discover-financial-services-data-engineer-jobs
Adobe,https://www.adobe.com/careers/teams/engineering-and-product.html
Aramark,https://aramark.jobs.net/en-US/job/data-engineer-data-science-sports-entertainment/J3Q4Y36FDXMB66CTR57
Otis Worldwide,https://www.otis.com/en/us/careers
Ecolab,https://www.indeed.com/cmp/Ecolab/salaries/Data-Engineer
AutoZone,https://autozone.referrals.selectminds.com/jobs/systems-engineer-data-engineering-etl-103379
Loews,https://corporate.lowes.com/careers/search-apply/data-engineer-customer360-2167880br
Illinois Tool Works,https://www.indeed.com/m/jobs%3Fq%3DIllinois%2BTool%2BWorks%2BInc.%26l%3DTroy%252C%2BMI
Fidelity National Information Services,https://lensa.com/senior-data-engineer-jobs/wildwood/jd/271aacc78c7e360a7731030a6f64e749
Ross Stores,https://www.comparably.com/companies/ross-stores/salaries/data-scientist
Peter Kiewit Sons,https://www.payscale.com/research/US/Employer%3DPeter_Kiewit_Sons%2527%252C_Inc./Salary
Equitable Holdings,https://equitable.com/about-us/careers
WESCO,https://www.linkedin.com/jobs/view/lead-data-engineer-remote-at-wesco-distribution-2903101492
Goodyear Tire & Rubber,https://www.linkedin.com/jobs/view/senior-data-engineer-at-the-goodyear-tire-rubber-company-2958129653
Fox,https://www.foxcareers.com/Search/JobDetail/R50017077/data-engineer-strategy-and-analytics-implementations-fox-corporation
Leidos Holdings,https://careers.leidos.com/jobs/8422387-data-engineer
Consolidated Edison,https://careers.coned.com/jobs/search
DTE Energy,https://careers.dteenergy.com/go/View-All-Jobs/4476200/
Charles Schwab,https://jobs.schwabjobs.com/job/westlake/data-engineer/33727/11789172416
State Street,https://careers.statestreet.com/global/en/c/information-technology-jobs%3Ffrom%3D80%26s%3D1
Ameriprise Financial,https://in.linkedin.com/jobs/view/data-engineer-process-trainee-ind-at-ameriprise-financial-services-llc-2882622916
Viatris,https://www.viatris.com/en/careers
Sempra Energy,https://www.sempra.com/careers
Farmers Insurance Exchange,https://www.indeed.com/cmp/Farmers-Insurance-Group/salaries/data-engineer
Bath & Body Works,https://careers.bathandbodyworks.com/en/job-2/13715866/data-engineer-columbus-oh/
W.W. Grainger,https://jobs.grainger.com/go/View-All-Jobs/8082000/
Community Health Systems,https://www.chs.net/careers/
Ball,https://www.linkedin.com/jobs/view/senior-data-engineer-at-ball-corporation-2957969375
Berry Global Group,https://www.berryglobal.com/careers
Kinder Morgan,https://www.kindermorgan.com/Careers/Working-at-Kinder-Morgan
VF,https://www.vfc.com/careers
Baxter International,https://www.linkedin.com/in/naveen-c-710732185
Textron,https://www.textron.com/Careers
LKQ,https://www.lkqcorp.com/culture-and-careers/
Keurig Dr Pepper,https://lensa.com/data-engineer-jobs/burlington/jd/30a026f0a72a49bccdd80ad3eb8be6e9
O'Reilly Automotive,https://www.linkedin.com/jobs/view/data-engineer-at-o-reilly-auto-parts-2898542684
Crown Holdings,https://www.crowncork.com/careers
Universal Health Services,https://jobs.uhsinc.com/careers/
DaVita,https://www.indeed.com/cmp/DaVita/salaries/Data-Engineer
Xcel Energy,https://jobs.xcelenergy.com/job/Denver-Sr_-Data-Engineer-Job-CO-80202/844904200/
Newmont,https://www.newmont.com/careers/our-jobs/default.aspx
Vistra Energy,https://vistracorp.com/careers/
IQVIA Holdings,https://jobs.iqvia.com/job/warsaw/data-engineer/24443/14071927264
eBay,https://careers.ebayinc.com/engineering-careers/
Corning,https://corningjobs.corning.com/job/Tewksbury-MA-01876/783275700/
Quanta Services,https://www.quantaservices.com/careers/
HollyFrontier,https://careers.hollyfrontier.com/job/El-Dorado-KS-67042/810878500/
Bed Bath & Beyond,https://www.linkedin.com/jobs/view/digital-data-architect-remote-at-bed-bath-beyond-2789140681
Uber Technologies,https://www.uber.com/us/en/careers/teams/data-science/
Mutual of Omaha,https://www.mutualofomaha.com/careers/jobs/search%3FjobCategory%3DInformation%2BTechnology
Conagra Brands,https://careers.conagrabrands.com/CampusRecruiting
PulteGroup,https://www.pultegroupinc.com/default.aspx%3FSectionId%3Dc9e2f9ea-a8a9-419c-a8ec-2c26ea43ca86%26LanguageId%3D1
EOG Resources,"https://www.ziprecruiter.com/c/EOG-Resources/Job/Sr-Data-Engineer/-in-Houston,TX%3Fjid%3D1a93034cfc59043a%26lvk%3DQOP4AMwM88tYagDwHs4TZQ.--MNqXJ2rgZ"
Group 1 Automotive,https://www.indeed.com/q-Automotive-Data-Engineer-jobs.html
Ally Financial,https://www.ally.com/about/careers/
Fidelity National Financial,https://www.indeed.com/cmp/Fidelity-National-Financial
Nordstrom,https://careers.nordstrom.com/
Discovery,https://www.indeed.com/q-E-Discovery-Data-Engineer-jobs.html
Tractor Supply,https://tractorsupply.jobs/jobs/details/5000278589506
CSX,https://www.linkedin.com/jobs/view/data-engineer-i-dataops-at-csx-2931596500
Marriott International,https://www.linkedin.com/jobs/marriott-international-engineering-jobs
FirstEnergy,https://careers.firstenergycorp.com/job/Akron-Data-Engineer-OH-44320/790991000/
BorgWarner,https://www.borgwarner.com/careers/job-search
Edward Jones (Jones Financial Companies),https://careers.edwardjones.com/en-CA/job-details/13377128/data-engineer-us-remote-eligible-remote/
Republic Services,https://www.linkedin.com/jobs/view/data-engineer-at-republic-services-2849098050
Henry Schein,https://www.henryschein.com/us-en/corporate/career/default.aspx
Expeditors International of Washington,https://jobs.smartrecruiters.com/Expeditors/743999773417964-developer-iii-data-engineer-is-core-services
Entergy,https://www.indeed.com/q-Energy-Data-Analysis-Engineer-jobs.html
Advance Auto Parts,https://www.linkedin.com/jobs/view/data-engineer-remote-at-advance-auto-parts-2883573976
Assurant,https://www.linkedin.com/jobs/view/data-engineer-at-assurant-2870936429
Pacific Life,https://www.pacificlife.com/home/Careers/students.html
Lam Research,https://careers.lamresearch.com/job/Fremont-Software-Engineer-4-CA-94538/802444400/
Boston Scientific,https://www.bostonscientific.com/en-US/careers.html
Altice USA,https://www.alticeusacareers.com/jobs/information-technology/
Norfolk Southern,http://www.nscorp.com/content/nscorp/en/work-at-ns/job-openings.html
Sonic Automotive,https://jobs.sonicautomotive.com/
AMD,https://jobs.amd.com/job/Singapore-SMTS-Product-Development-Eng_-Sing/804715300/
United States Steel,https://www.ussteel.com/careers/careers-in-steel
Markel,https://www.linkedin.com/jobs/view/senior-data-engineer-at-markel-2939717953
ODP,https://www.indeed.com/m/jobs%3Fq%3DOdp%2BEngineer
AES,https://www.linkedin.com/jobs/view/data-engineer-intern-1-at-the-aes-corporation-2900784145
Molson Coors,https://jobs.molsoncoors.com/MolsonCoors_US/job/Milwaukee-Senior-Data-Engineer-WI-53201/762864801/
J.B. Hunt,https://careers.jbhunt.com/careers/engineering-and-technology
KKR,https://boards.greenhouse.io/kkr
Hormel Foods,https://www.hormelfoods.com/careers/new-grads-university-recruiting/
Public Service Enterprise Group,https://www.theladders.com/company/publicserviceenterprisegroup-jobs
Steel Dynamics,https://apply.jobappnetwork.com/steel-dynamics-inc
Dick's Sporting Goods,https://www.linkedin.com/jobs/view/data-engineer-at-dick-s-sporting-goods-2814799194
Mohawk,"https://www.indeed.com/q-Software-Engineer-l-Mohawk,-IN-jobs.html"
Murphy USA,"https://www.indeed.com/q-Data-Engineer-l-Murphy,-TX-jobs.html"
Square,https://jobs.smartrecruiters.com/Square/743999781790473-data-engineer-marketing
Quest Diagnostics,https://careers.questdiagnostics.com/en-US/search%3Fkeywords%3DSoftware%2520Engineer%26orderby%3D-distance
Newell Brands,https://careers.newellbrands.com/us/en/
Liberty Media,https://www.libertymedia.com/careers
Huntington Ingalls,https://lensa.com/data-engineer-jobs/washington/jd/6e66402ab82fb4b48e4c085a9e0dc658
Cheniere Energy,https://www.cheniere.com/careers
SpartanNash,https://www.linkedin.com/jobs/view/data-engineer-at-spartannash-2901671946
Alcoa,https://jobsearcher.com/jobs/tn/alcoa/-/data-engineer
AGCO,https://careers.agcocorp.com/job/Duluth-IT-Analyst-II-Job-GA-30026/818719400/
Voya Financial,https://www.voya.com/about-us/find-career-voya
NRG Energy,https://lensa.com/python-data-engineer-jobs/houston/jd/456b325ebf228889523d6528fd4266c4
Interpublic Group,https://www.themuse.com/jobs/kinesso/associate-data-engineer
