Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Eric Gordon,45,34,1326,6.1,12.4,0.491,2.7,6.4,0.427,3.4,6.1,0.558,2.4,3.1,0.757,0.4,2.1,2.4,3.7,0.6,0.4,2.4,1.2,17.3
Devonte' Graham,50,50,1563,5.1,14.1,0.363,3.3,9.6,0.348,1.8,4.5,0.396,2.0,2.4,0.845,0.5,2.4,2.9,5.2,1.1,0.2,1.8,1.6,15.6
Jerami Grant,29,29,945,6.9,17.1,0.404,1.9,5.9,0.331,5.0,11.3,0.443,5.3,6.4,0.832,0.9,4.1,5.0,2.8,1.1,1.1,2.2,2.5,21.1
Hassani Gravett,8,3,171,3.8,8.0,0.474,2.3,5.5,0.423,1.5,2.5,0.583,0.6,0.8,0.75,0.2,4.2,4.4,4.2,1.1,0.2,1.9,2.7,10.5
Danny Green,36,23,842,3.6,8.7,0.412,2.8,7.3,0.386,0.8,1.4,0.545,0.4,0.4,0.9,0.8,3.1,3.9,1.5,1.8,1.2,1.5,2.7,10.4
Draymond Green,34,34,1018,3.8,7.1,0.537,0.4,1.5,0.286,3.4,5.6,0.604,1.4,2.4,0.597,1.3,7.7,9.1,8.8,1.7,1.4,3.7,3.3,9.5
Jalen Green,39,39,1178,5.7,15.0,0.377,2.1,7.3,0.29,3.5,7.7,0.458,3.6,4.3,0.838,0.5,3.5,4.0,2.9,0.7,0.2,2.7,1.7,17.1
JaMychal Green,41,7,604,5.5,11.9,0.46,1.4,5.2,0.264,4.1,6.7,0.611,2.9,3.3,0.873,2.3,6.6,8.8,2.1,1.8,1.0,2.1,5.5,15.2
Javonte Green,39,28,922,3.9,7.5,0.526,0.6,2.1,0.283,3.4,5.4,0.619,2.3,2.8,0.819,2.4,4.1,6.4,1.7,1.4,0.9,0.8,3.3,10.8
Jeff Green,50,38,1228,5.5,10.7,0.514,1.1,3.3,0.321,4.4,7.4,0.599,3.0,3.7,0.817,0.8,3.8,4.6,1.7,0.4,0.6,1.3,3.3,15.0
Josh Green,40,0,553,4.7,9.0,0.518,0.7,2.1,0.313,4.0,7.0,0.579,1.6,2.3,0.714,1.8,3.6,5.4,3.3,1.7,0.5,1.3,4.2,11.7
Blake Griffin,43,22,799,4.9,11.9,0.413,1.3,5.5,0.23,3.6,6.4,0.57,2.0,2.7,0.733,2.3,6.4,8.7,4.1,1.0,0.5,0.9,3.6,13.1
Quentin Grimes,35,2,556,4.5,11.1,0.407,3.4,8.8,0.382,1.2,2.3,0.5,0.5,0.7,0.727,1.0,2.9,3.9,2.1,1.5,0.4,1.4,3.0,12.9
Kyle Guy,14,0,175,5.3,12.3,0.433,2.9,7.2,0.4,2.5,5.1,0.48,1.4,2.1,0.7,0.4,2.3,2.7,3.5,1.4,0.2,2.5,2.5,15.0
Rui Hachimura,14,0,250,5.9,13.5,0.436,1.6,4.2,0.379,4.3,9.4,0.462,2.3,3.0,0.762,0.7,6.6,7.3,1.9,0.6,0.4,1.3,2.0,15.7
Tyrese Haliburton,51,51,1757,5.5,12.0,0.457,2.1,5.2,0.413,3.4,6.8,0.491,1.8,2.1,0.837,0.8,3.3,4.1,7.8,1.8,0.7,2.4,1.5,14.9
Tyler Hall,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R.J. Hampton,42,1,815,4.7,12.4,0.382,1.7,4.7,0.364,3.0,7.6,0.393,2.1,3.5,0.608,0.6,4.8,5.4,4.5,1.3,0.4,2.5,2.7,13.3
Tim Hardaway Jr.,42,20,1245,6.0,15.3,0.394,2.9,8.8,0.336,3.1,6.5,0.473,2.3,3.0,0.757,0.4,4.1,4.5,2.7,1.1,0.2,1.0,2.1,17.3
James Harden,44,44,1627,6.5,15.6,0.414,2.3,6.8,0.332,4.2,8.8,0.476,6.7,7.7,0.869,0.9,6.8,7.8,9.9,1.2,0.7,4.7,2.3,21.9
Maurice Harkless,38,19,737,3.5,7.9,0.444,1.3,4.4,0.297,2.2,3.5,0.634,0.7,1.0,0.714,0.6,4.0,4.5,1.1,1.2,1.1,1.3,3.1,9.1
Jared Harper,2,0,10,10.8,25.2,0.429,3.6,7.2,0.5,7.2,18.0,0.4,0.0,0.0,,3.6,0.0,3.6,10.8,0.0,3.6,3.6,7.2,25.2
Montrezl Harrell,46,3,1117,8.0,12.3,0.645,0.1,0.5,0.267,7.8,11.9,0.66,4.8,6.6,0.727,3.1,6.9,10.0,3.1,0.6,1.0,1.6,2.8,20.9
Gary Harris,48,30,1416,5.1,11.6,0.444,2.3,6.0,0.388,2.8,5.5,0.505,1.7,2.0,0.844,0.8,1.9,2.7,2.3,1.0,0.2,1.3,2.3,14.3
Joe Harris,14,14,423,4.8,10.6,0.452,3.5,7.5,0.466,1.3,3.1,0.417,0.4,0.5,0.833,0.4,4.3,4.8,1.2,0.6,0.2,1.4,2.6,13.4
Tobias Harris,45,45,1595,7.5,15.4,0.488,1.2,3.5,0.346,6.3,11.9,0.53,3.1,3.7,0.853,1.1,6.3,7.4,3.8,0.7,0.6,1.9,2.1,19.4
Shaquille Harrison,2,0,23,3.1,9.4,0.333,0.0,3.1,0.0,3.1,6.3,0.5,0.0,0.0,,1.6,4.7,6.3,4.7,1.6,1.6,3.1,4.7,6.3
Josh Hart,41,40,1374,5.1,10.1,0.505,1.1,3.4,0.323,4.0,6.7,0.598,3.0,4.0,0.753,1.4,6.9,8.3,4.4,1.2,0.3,2.1,3.1,14.4
Isaiah Hartenstein,42,0,674,7.1,11.4,0.624,0.2,0.3,0.5,6.9,11.1,0.628,2.6,3.8,0.681,3.5,6.1,9.6,4.2,1.6,2.5,2.4,5.6,17.0
Udonis Haslem,9,0,57,6.9,13.9,0.5,0.6,1.3,0.5,6.3,12.6,0.5,1.9,1.9,1.0,2.5,8.8,11.4,1.9,0.6,0.6,1.9,6.9,16.4
Sam Hauser,10,0,41,3.5,12.3,0.286,3.5,12.3,0.286,0.0,0.0,,0.0,0.0,,0.9,4.4,5.3,0.9,0.9,0.9,0.0,3.5,10.5
Jaxson Hayes,42,4,688,7.0,11.0,0.63,0.4,1.3,0.28,6.6,9.7,0.677,4.2,5.5,0.771,3.0,5.9,8.8,1.0,0.9,1.7,1.7,4.9,18.5
Killian Hayes,42,33,1052,3.4,9.4,0.365,1.0,3.7,0.278,2.4,5.7,0.422,1.3,1.6,0.809,0.7,3.6,4.3,5.7,1.5,0.8,2.4,3.7,9.2
Gordon Hayward,48,48,1547,6.5,14.2,0.46,2.0,5.1,0.39,4.6,9.1,0.499,2.9,3.5,0.846,0.9,4.3,5.1,4.0,1.1,0.5,1.9,2.0,18.0
Aaron Henry,6,0,17,2.1,10.6,0.2,0.0,2.1,0.0,2.1,8.5,0.25,0.0,0.0,,0.0,2.1,2.1,0.0,0.0,4.2,4.2,4.2,4.2
Juancho Hernangómez,23,0,147,1.7,8.1,0.212,0.7,5.1,0.143,1.0,2.9,0.333,2.2,3.2,0.692,3.2,6.6,9.8,1.5,1.2,0.7,2.0,1.7,6.4
Willy Hernangómez,28,6,467,7.6,14.1,0.536,0.2,0.5,0.429,7.3,13.6,0.54,4.5,5.9,0.753,6.0,9.3,15.3,2.9,0.8,0.7,2.2,4.0,19.8
Tyler Herro,45,10,1480,8.2,19.1,0.428,2.8,7.5,0.378,5.4,11.6,0.46,2.8,3.3,0.873,0.7,4.6,5.2,4.4,0.7,0.2,3.1,1.7,22.0
Buddy Hield,55,6,1574,6.1,15.9,0.382,4.2,11.3,0.368,1.9,4.5,0.419,1.8,2.1,0.87,1.0,4.1,5.1,2.4,1.1,0.3,2.1,2.6,18.1
Haywood Highsmith,4,0,42,3.4,6.9,0.5,3.4,6.0,0.571,0.0,0.9,0.0,0.0,0.0,,1.7,2.6,4.3,0.0,0.0,0.9,0.0,2.6,10.3
George Hill,41,16,1044,3.5,8.1,0.436,1.3,4.0,0.316,2.2,4.0,0.556,1.7,1.7,0.96,1.2,3.3,4.6,3.5,1.1,0.2,1.2,2.0,10.0
Malcolm Hill,14,0,176,4.3,8.8,0.488,2.5,5.9,0.414,1.8,2.9,0.643,2.0,2.5,0.833,2.0,3.5,5.5,0.8,1.2,0.6,0.4,4.1,13.1
Solomon Hill,13,1,139,0.8,5.2,0.15,0.5,3.4,0.154,0.3,1.8,0.143,0.0,0.0,,1.6,4.4,6.0,3.1,1.0,0.5,0.3,4.1,2.1
Nate Hinton,2,0,2,0.0,18.0,0.0,0.0,0.0,,0.0,18.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
Jaylen Hoard,1,0,2,0.0,18.0,0.0,0.0,0.0,,0.0,18.0,0.0,0.0,0.0,,18.0,18.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Holiday,41,14,663,5.4,11.6,0.467,1.2,3.6,0.343,4.2,8.0,0.524,1.5,1.9,0.8,0.5,3.1,3.6,4.2,1.3,0.5,2.1,3.3,13.6
Jrue Holiday,43,40,1408,7.9,15.6,0.503,2.0,5.0,0.395,5.9,10.7,0.554,1.9,2.6,0.76,1.0,4.1,5.1,7.4,1.7,0.6,2.9,2.0,19.7
Justin Holiday,50,41,1446,4.8,11.7,0.409,3.2,8.5,0.371,1.6,3.2,0.512,0.9,1.1,0.837,0.5,2.9,3.4,2.3,0.9,0.5,1.3,2.7,13.6
Richaun Holmes,38,37,963,7.0,10.2,0.684,0.1,0.2,0.4,6.9,10.0,0.689,2.4,3.2,0.765,3.2,7.8,11.0,1.7,0.6,1.4,1.9,4.3,16.4
Rodney Hood,39,0,581,2.9,8.1,0.351,1.5,5.0,0.3,1.4,3.2,0.431,0.8,0.9,0.929,0.8,3.3,4.2,1.9,0.7,0.2,0.4,1.7,8.0
Scotty Hopson,1,0,18,4.0,8.0,0.5,0.0,2.0,0.0,4.0,6.0,0.667,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,4.0,2.0,8.0
Al Horford,47,47,1335,4.8,11.0,0.435,1.5,5.1,0.293,3.3,5.9,0.557,1.7,2.0,0.84,2.0,7.4,9.5,4.3,0.8,1.6,1.3,2.4,12.7
Talen Horton-Tucker,40,15,1028,5.0,12.3,0.41,1.1,4.2,0.269,3.9,8.1,0.483,2.1,2.6,0.797,0.8,3.7,4.5,3.7,1.3,0.7,2.1,3.5,13.3
Danuel House Jr.,24,2,371,4.3,11.1,0.386,1.9,5.7,0.339,2.3,5.3,0.436,2.6,3.2,0.818,0.8,5.1,5.9,2.9,1.0,0.8,2.1,2.4,13.1
Dwight Howard,41,11,594,4.7,7.5,0.621,0.4,0.5,0.667,4.3,7.0,0.617,3.2,5.2,0.612,4.8,8.7,13.5,1.3,1.7,1.5,2.0,4.8,12.8
Markus Howard,22,0,134,7.3,19.6,0.37,6.2,14.2,0.434,1.1,5.4,0.2,3.5,3.8,0.929,0.0,1.6,1.6,1.6,1.9,0.0,1.6,3.0,24.2
Kevin Huerter,47,33,1367,5.6,12.1,0.463,2.3,6.2,0.377,3.3,5.9,0.554,0.7,0.9,0.8,0.5,3.4,3.9,3.5,0.7,0.4,1.7,2.7,14.3
Jay Huff,4,0,20,0.0,5.4,0.0,0.0,3.6,0.0,0.0,1.8,0.0,0.0,0.0,,1.8,5.4,7.2,1.8,1.8,1.8,1.8,1.8,0.0
Elijah Hughes,14,1,112,4.8,11.6,0.417,3.2,9.0,0.357,1.6,2.6,0.625,1.0,1.0,1.0,0.6,4.8,5.5,1.9,1.3,0.3,2.3,2.3,13.8
De'Andre Hunter,26,25,747,6.0,13.2,0.453,1.8,4.4,0.407,4.2,8.8,0.475,2.6,3.7,0.701,0.5,3.8,4.3,1.6,0.8,0.5,1.8,3.6,16.3
Chandler Hutchison,6,0,22,1.6,3.3,0.5,0.0,0.0,,1.6,3.3,0.5,3.3,3.3,1.0,0.0,8.2,8.2,3.3,0.0,0.0,6.5,1.6,6.5
Bones Hyland,42,0,742,5.9,16.2,0.366,3.4,9.9,0.348,2.5,6.3,0.395,2.3,2.6,0.889,0.3,5.1,5.5,4.0,1.0,0.6,2.4,4.2,17.6
Serge Ibaka,35,10,538,6.3,12.8,0.49,1.6,4.1,0.387,4.7,8.7,0.538,1.3,1.9,0.69,2.7,7.4,10.0,2.4,0.5,1.7,2.2,3.7,15.5
Andre Iguodala,26,0,518,2.8,7.1,0.392,1.0,4.2,0.23,1.8,2.8,0.634,0.9,1.1,0.813,1.3,4.7,6.0,6.9,1.5,1.5,1.6,1.7,7.4
Joe Ingles,45,15,1122,3.7,9.1,0.404,2.5,7.2,0.347,1.2,1.9,0.617,0.5,0.7,0.773,0.4,3.8,4.2,5.1,0.7,0.2,1.5,2.6,10.4
Brandon Ingram,40,40,1379,8.7,19.3,0.45,1.6,4.7,0.348,7.0,14.6,0.483,4.9,6.0,0.82,0.7,5.3,6.0,5.7,0.7,0.5,2.7,2.1,23.9
Kyrie Irving,12,12,427,9.1,20.0,0.456,2.4,6.7,0.367,6.7,13.3,0.5,2.8,3.0,0.917,0.7,4.1,4.8,5.4,1.1,0.6,2.4,2.4,23.4
Wes Iwundu,3,1,82,3.5,7.9,0.444,1.3,2.2,0.6,2.2,5.7,0.385,1.3,1.8,0.75,1.3,4.4,5.7,0.0,0.4,0.0,0.4,3.5,9.7
Frank Jackson,41,5,931,6.3,14.8,0.422,2.9,8.8,0.33,3.4,6.1,0.554,2.2,2.8,0.792,0.5,2.1,2.6,1.5,0.8,0.3,1.2,2.8,17.6
Isaiah Jackson,19,2,181,8.0,15.1,0.526,0.6,1.4,0.429,7.4,13.7,0.536,4.2,6.2,0.677,4.6,6.2,10.7,1.4,1.6,3.0,2.0,7.0,20.7
Jaren Jackson Jr.,55,55,1536,7.5,17.6,0.424,2.2,6.9,0.318,5.3,10.7,0.492,4.5,5.7,0.802,1.9,5.8,7.7,1.4,1.3,2.9,2.2,4.3,21.7
Josh Jackson,39,3,707,5.2,12.8,0.41,1.5,5.8,0.265,3.7,7.0,0.529,2.0,2.9,0.714,0.9,5.4,6.3,2.5,1.1,0.9,1.9,3.6,14.1
Justin Jackson,7,0,37,4.9,14.6,0.333,2.9,8.8,0.333,1.9,5.8,0.333,1.9,1.9,1.0,1.0,5.8,6.8,1.9,0.0,0.0,1.0,2.9,14.6
Reggie Jackson,52,52,1586,7.3,18.6,0.394,2.8,8.4,0.331,4.5,10.1,0.446,2.0,2.4,0.857,0.6,3.4,3.9,4.8,0.9,0.1,2.6,2.3,19.5
LeBron James,39,39,1430,10.8,20.6,0.526,2.7,7.7,0.354,8.1,12.9,0.628,4.2,5.5,0.753,1.1,6.5,7.6,6.3,1.6,1.0,3.1,2.2,28.5
DeJon Jarreau,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DaQuan Jeffries,3,0,9,4.0,8.0,0.5,0.0,4.0,0.0,4.0,4.0,1.0,0.0,0.0,,0.0,8.0,8.0,4.0,0.0,0.0,0.0,4.0,8.0
Ty Jerome,45,4,745,5.8,14.9,0.386,2.5,8.4,0.293,3.3,6.5,0.507,1.7,2.0,0.833,0.9,2.6,3.5,4.7,1.4,0.2,1.6,3.4,15.7
Isaiah Joe,38,1,491,3.6,10.1,0.355,2.6,7.8,0.33,1.0,2.3,0.438,1.5,1.5,0.952,0.4,2.9,3.3,2.1,0.7,0.1,1.0,2.8,11.2
Alize Johnson,19,0,139,3.6,7.5,0.483,0.0,1.0,0.0,3.6,6.5,0.56,1.0,2.1,0.5,5.4,7.0,12.4,2.1,0.8,0.0,2.8,3.9,8.3
B.J. Johnson,4,0,65,6.1,13.8,0.44,2.2,5.5,0.4,3.9,8.3,0.467,0.0,0.0,,3.3,5.0,8.3,0.0,0.0,0.6,0.0,2.2,14.4
Cameron Johnson,51,10,1327,5.6,12.4,0.456,3.4,8.0,0.429,2.2,4.3,0.506,1.7,2.0,0.849,0.8,5.0,5.8,1.7,1.2,0.3,0.8,2.4,16.4
David Johnson,2,0,2,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Johnson,13,0,58,5.6,11.8,0.474,1.9,4.3,0.429,3.7,7.4,0.5,2.5,3.7,0.667,0.0,9.3,9.3,0.6,0.0,0.0,1.9,1.9,15.5
James Johnson,39,5,735,4.7,9.6,0.485,0.6,2.3,0.283,4.0,7.3,0.547,0.5,1.4,0.379,1.9,4.8,6.7,3.6,1.0,0.7,1.4,4.4,10.5
Joe Johnson,1,0,2,18.0,18.0,1.0,0.0,0.0,,18.0,18.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
Keldon Johnson,51,50,1588,6.7,14.4,0.466,2.2,5.1,0.427,4.5,9.3,0.488,2.2,3.1,0.715,1.2,5.8,7.1,2.1,0.8,0.2,1.5,2.1,17.8
Keon Johnson,15,0,135,4.5,13.6,0.333,0.8,2.9,0.273,3.7,10.7,0.35,4.3,5.6,0.762,1.6,4.0,5.6,3.5,1.9,0.5,1.9,5.6,14.1
Stanley Johnson,22,12,492,4.0,8.3,0.487,1.2,3.7,0.32,2.9,4.6,0.619,1.5,2.3,0.677,1.1,4.2,5.3,2.0,1.2,0.7,1.0,4.8,10.8
Tyler Johnson,6,0,91,2.4,7.9,0.3,2.0,5.1,0.385,0.4,2.8,0.143,0.0,0.0,,1.2,3.6,4.7,2.8,1.2,1.2,0.8,2.8,6.7
Nikola Jokić,48,48,1580,10.8,18.7,0.578,1.7,4.6,0.375,9.1,14.1,0.644,4.9,6.1,0.816,2.9,12.0,14.9,8.6,1.5,0.8,4.0,2.8,28.3
Carlik Jones,5,0,23,1.6,14.1,0.111,0.0,1.6,0.0,1.6,12.5,0.125,3.1,3.1,1.0,1.6,3.1,4.7,7.8,1.6,0.0,4.7,0.0,6.3
Damian Jones,37,5,564,5.7,9.0,0.638,0.3,0.9,0.357,5.4,8.1,0.669,3.1,4.2,0.727,3.3,6.0,9.3,2.7,0.7,1.5,2.4,4.9,14.9
Derrick Jones Jr.,31,8,533,4.8,8.2,0.582,1.0,2.5,0.405,3.8,5.7,0.659,2.6,3.1,0.848,2.5,4.5,7.0,1.1,1.0,1.6,1.1,4.8,13.2
Herbert Jones,51,42,1520,4.4,8.9,0.496,0.8,2.3,0.361,3.6,6.6,0.543,1.9,2.3,0.835,1.5,3.2,4.7,2.5,1.8,1.0,1.4,3.6,11.6
Jemerrio Jones,2,0,15,4.8,7.2,0.667,0.0,0.0,,4.8,7.2,0.667,0.0,0.0,,4.8,2.4,7.2,0.0,2.4,0.0,0.0,4.8,9.6
Kai Jones,16,0,46,4.7,7.0,0.667,0.8,1.6,0.5,3.9,5.5,0.714,0.8,3.1,0.25,1.6,4.7,6.3,3.1,0.0,0.0,3.9,3.9,11.0
Mason Jones,2,0,9,8.0,32.0,0.25,0.0,8.0,0.0,8.0,24.0,0.333,4.0,8.0,0.5,4.0,4.0,8.0,0.0,4.0,0.0,4.0,4.0,20.0
Tre Jones,43,4,575,5.3,10.6,0.5,0.2,1.2,0.158,5.1,9.5,0.543,2.1,2.4,0.895,1.1,3.9,4.9,6.3,1.1,0.0,1.5,2.5,13.0
Tyus Jones,49,13,1011,5.6,12.1,0.463,1.6,4.4,0.366,4.0,7.7,0.519,1.2,1.4,0.875,0.5,4.1,4.5,7.2,1.6,0.1,1.2,0.7,14.0
DeAndre Jordan,31,19,399,5.3,7.9,0.67,0.0,0.0,,5.3,7.9,0.67,1.1,2.3,0.48,4.4,10.8,15.2,1.2,0.9,2.3,1.8,4.5,11.7
Cory Joseph,43,17,1031,4.3,9.5,0.458,1.6,3.6,0.437,2.8,5.9,0.47,2.3,2.8,0.848,0.6,3.0,3.7,5.7,1.0,0.4,2.2,3.1,12.6
Georgios Kalaitzakis,9,0,48,3.7,8.2,0.455,1.5,3.0,0.5,2.3,5.2,0.429,3.0,6.8,0.444,3.0,3.0,6.0,0.0,0.7,0.7,3.0,6.0,12.0
Frank Kaminsky,9,0,181,7.2,13.1,0.545,1.0,3.0,0.333,6.2,10.1,0.608,3.6,4.0,0.9,2.2,6.0,8.2,2.6,1.6,1.4,1.0,2.8,18.9
Luke Kennard,46,10,1294,5.2,11.9,0.436,3.4,8.0,0.43,1.8,4.0,0.448,1.3,1.4,0.882,0.3,4.3,4.6,2.8,0.8,0.1,1.0,2.0,15.1
Braxton Key,2,0,6,6.0,12.0,0.5,0.0,6.0,0.0,6.0,6.0,1.0,0.0,0.0,,6.0,6.0,12.0,6.0,6.0,0.0,12.0,6.0,12.0
George King,4,0,19,0.0,9.5,0.0,0.0,7.6,0.0,0.0,1.9,0.0,1.9,3.8,0.5,0.0,9.5,9.5,0.0,0.0,0.0,1.9,7.6,1.9
Louis King,10,0,104,5.2,16.3,0.319,2.8,9.3,0.296,2.4,6.9,0.35,2.4,3.5,0.7,0.0,4.2,4.2,3.1,0.7,0.3,0.0,4.8,15.6
Corey Kispert,48,7,890,4.4,10.1,0.436,1.8,5.7,0.317,2.6,4.4,0.593,1.5,1.7,0.878,1.2,3.5,4.7,1.7,0.6,0.5,0.8,1.7,12.1
Maxi Kleber,38,20,952,3.7,8.7,0.424,2.4,6.5,0.374,1.3,2.3,0.567,1.0,1.3,0.771,1.6,6.8,8.5,1.6,0.7,1.4,1.1,3.3,10.9
Brandon Knight,3,0,54,6.0,13.3,0.45,2.7,8.7,0.308,3.3,4.7,0.714,5.3,5.3,1.0,0.0,4.7,4.7,5.3,0.7,0.0,2.7,3.3,20.0
Nathan Knight,28,2,194,5.0,10.4,0.482,0.4,1.5,0.25,4.6,8.9,0.521,5.9,8.4,0.711,4.1,6.9,10.9,2.6,0.7,1.3,2.2,5.4,16.3
Kevin Knox,19,0,153,4.7,12.9,0.364,2.6,8.9,0.289,2.1,4.0,0.529,1.6,2.4,0.7,1.9,4.9,6.8,1.4,0.7,0.2,1.6,1.9,13.6
John Konchar,48,6,884,3.5,7.0,0.506,1.4,3.4,0.422,2.1,3.6,0.584,0.8,1.3,0.606,2.3,6.4,8.7,2.9,1.4,0.5,0.9,2.5,9.3
Furkan Korkmaz,47,17,1130,4.8,12.3,0.39,2.0,6.9,0.287,2.8,5.4,0.52,1.8,2.2,0.838,0.4,4.0,4.5,3.5,0.9,0.2,1.2,1.5,13.4
Luke Kornet,3,0,18,2.0,12.0,0.167,0.0,2.0,0.0,2.0,10.0,0.2,4.0,6.0,0.667,6.0,2.0,8.0,2.0,0.0,2.0,0.0,4.0,8.0
Vit Krejci,3,0,9,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,,8.0,8.0,1.0,0.0,12.0,12.0,0.0,0.0,0.0,4.0,0.0,8.0
Arnoldas Kulboka,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Kuminga,43,4,569,7.3,14.9,0.489,1.5,5.0,0.304,5.8,9.9,0.583,4.0,6.3,0.636,1.6,5.5,7.1,1.8,0.9,0.4,2.4,4.7,20.1
Kyle Kuzma,50,50,1646,6.6,14.5,0.456,2.0,6.0,0.335,4.6,8.5,0.541,2.4,3.5,0.692,1.2,8.2,9.5,3.1,0.7,1.0,2.4,2.0,17.6
Anthony Lamb,2,0,8,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,,0.0,0.0,,0.0,4.5,4.5,9.0,0.0,0.0,0.0,0.0,0.0
Jeremy Lamb,40,0,644,5.0,13.4,0.372,2.3,7.0,0.336,2.6,6.4,0.412,3.9,4.6,0.843,0.8,4.8,5.6,3.1,1.3,0.9,1.4,2.5,16.2
Jock Landale,34,1,343,6.1,12.3,0.496,2.0,5.5,0.365,4.1,6.8,0.6,2.1,2.4,0.87,4.1,4.0,8.1,3.3,0.7,1.3,2.3,3.4,16.3
Romeo Langford,44,5,728,3.9,9.1,0.429,1.4,4.1,0.349,2.5,5.0,0.495,1.0,1.7,0.588,1.5,3.7,5.1,0.9,1.0,0.8,0.8,2.3,10.2
Zach LaVine,46,46,1587,9.2,19.0,0.484,3.0,7.5,0.404,6.2,11.5,0.536,4.5,5.1,0.876,0.3,4.8,5.1,4.6,0.7,0.4,2.8,1.8,26.0
Jake Layman,23,1,169,3.8,10.4,0.367,0.9,5.5,0.154,3.0,4.9,0.609,1.3,1.7,0.75,0.9,4.3,5.1,1.5,1.3,0.9,1.5,1.9,9.8
Damion Lee,44,3,902,5.1,11.3,0.451,2.1,5.7,0.366,3.0,5.7,0.535,1.6,1.9,0.851,0.7,4.7,5.4,1.6,1.2,0.2,1.2,2.5,13.9
Saben Lee,27,0,403,4.1,10.8,0.38,1.1,3.9,0.273,3.0,6.9,0.442,2.9,3.8,0.767,0.9,5.0,5.9,5.7,2.2,0.9,2.2,2.1,12.2
