,playerid,name,twit_url,twit_handle,insta_url,insta_handle,twit_id,twit_followers_count,twit_tweet_count,tweet_retweet_count,tweet_reply_count,tweet_like_count,tweet_quote_count,pos,age,tm,g,gs,mp,fg,fga,fgpct,threep,threepa,threeppct,twop,twopa,twoppct,efgpct,ft,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pf,pts,dist,pct_of_fga_by_distance_2p,pct_of_fga_by_distance_0to3,pct_of_fga_by_distance_3to10,pct_of_fga_by_distance_10to16,pct_of_fga_by_distance_16to3p,pct_of_fga_by_distance_3p,fgpct_by_distance_2p,fgpct_by_distance_0to3,fgpct_by_distance_3to10,fgpct_by_distance_10to16,fgpct_by_distance_16to3p,fgpct_by_distance_3p,pct_of_fg_astd_2p,pct_of_fg_astd_3p,dunks_pctfga,dunks_num,corner_3s_pct3pa,corner_3s_3ppct,heaves_att,heaves_num,salary_2021_22,br_name,br_url,twit_likes_per_post,inst_id,inst_followers,inst_follows,inst_posts,inst_likes_12,inst_comments_12,inst_likes_per_week,inst_comments_per_week
10,202687,Bismack Biyombo,https://twitter.com/bismackbiyombo,bismackbiyombo,https://instagram.com/bismackbiyombo,bismackbiyombo,273532957,55561,3055,432,134,4751,41,C,29.0,PHO,15.0,3.0,290.0,54.0,89.0,0.607,0.0,0.0,,54.0,89.0,0.607,0.607,26.0,47.0,0.553,44.0,60.0,104.0,14.0,9.0,14.0,12.0,31.0,134.0,4.1,1.0,0.562,0.36,0.067,0.011,0.0,0.607,0.76,0.438,0.333,0.0,0.0,0.796,0.0,0.236,21.0,0.0,0.0,0.0,0.0,1518213,Bismack Biyombo,https://www.basketball-reference.com/players/b/biyombi01.html,1.555155482815057,573482256,142788,489,390,24658,712,1475.2649572649573,42.5982905982906
11,203967,Dario Saric,https://twitter.com/dariosaric,dariosaric,https://instagram.com/megalodon20,megalodon20,797153299287998464,32572,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8510000,Dario Saric,https://www.basketball-reference.com/players/s/saricda01.html,0.0,1445878973,106417,244,42,8020,69,1100.7843137254902,9.470588235294118
12,1629028,Deandre Ayton,https://twitter.com/DeandreAyton,DeandreAyton,https://instagram.com/deandreayton,deandreayton,3834430036,128987,985,3870,211,12132,81,C,23.0,PHO,33.0,33.0,967.0,231.0,364.0,0.635,2.0,8.0,0.25,229.0,356.0,0.643,0.637,66.0,91.0,0.725,91.0,251.0,342.0,50.0,27.0,25.0,56.0,76.0,530.0,5.9,0.978,0.382,0.423,0.126,0.047,0.022,0.643,0.791,0.591,0.457,0.412,0.25,0.808,1.0,0.157,53.0,0.0,0.0,0.0,0.0,12632950,Deandre Ayton,https://www.basketball-reference.com/players/a/aytonde01.html,12.316751269035532,338219798,507540,139,112,202737,1739,16126.806818181818,138.32954545454547
13,1629661,Cameron Johnson,,,https://instagram.com/camjohnson23,camjohnson23,0,0,0,0,0,0,0,PF,25.0,PHO,51.0,10.0,1327.0,208.0,456.0,0.456,127.0,296.0,0.429,81.0,160.0,0.506,0.595,62.0,73.0,0.849,30.0,184.0,214.0,63.0,44.0,12.0,31.0,88.0,605.0,18.7,0.351,0.136,0.123,0.048,0.044,0.649,0.506,0.742,0.446,0.273,0.2,0.429,0.691,1.0,0.035,15.0,0.382,0.469,1.0,0.0,4437000,Cameron Johnson,https://www.basketball-reference.com/players/j/johnsca02.html,,2347776169,190710,793,41,37253,320,4011.861538461538,34.46153846153846
14,1628969,Mikal Bridges,https://twitter.com/mikal_bridges,mikal_bridges,https://instagram.com/mikalbridges,mikalbridges,994335752312979463,45422,1490,8527,2610,119996,1018,SF,25.0,PHO,54.0,54.0,1877.0,281.0,538.0,0.522,75.0,203.0,0.369,206.0,335.0,0.615,0.592,70.0,80.0,0.875,55.0,176.0,231.0,117.0,66.0,25.0,42.0,102.0,707.0,13.6,0.623,0.232,0.186,0.151,0.054,0.377,0.615,0.816,0.61,0.457,0.207,0.369,0.786,0.973,0.072,36.0,0.586,0.378,0.0,0.0,5557725,Mikal Bridges,https://www.basketball-reference.com/players/b/bridgmi01.html,80.53422818791947,36182358,179968,2213,204,100158,1265,7704.461538461538,97.3076923076923
15,203109,Jae Crowder,https://twitter.com/CJC9BOSS,CJC9BOSS,https://instagram.com/bossmann99,bossmann99,125408809,198107,8528,4785,849,56458,215,PF,31.0,PHO,44.0,44.0,1244.0,136.0,343.0,0.397,79.0,230.0,0.343,57.0,113.0,0.504,0.512,40.0,49.0,0.816,18.0,212.0,230.0,66.0,55.0,21.0,39.0,106.0,391.0,20.6,0.329,0.067,0.099,0.073,0.09,0.671,0.504,0.739,0.441,0.44,0.452,0.343,0.825,0.962,0.006,2.0,0.213,0.408,1.0,0.0,9720900,Jae Crowder,https://www.basketball-reference.com/players/c/crowdja01.html,6.6203095684803,2206418091,528379,443,170,163622,1544,11119.941747572817,104.93203883495146
16,1629216,Gabe Vincent,https://twitter.com/iamgabevincent2,iamgabevincent2,https://instagram.com/iamgabevincent2,iamgabevincent2,747694509035753472,9071,8443,4931,547,12733,332,PG,25.0,MIA,46.0,19.0,1099.0,156.0,362.0,0.431,89.0,227.0,0.392,67.0,135.0,0.496,0.554,32.0,40.0,0.8,18.0,75.0,93.0,153.0,46.0,11.0,74.0,114.0,433.0,19.1,0.373,0.157,0.083,0.08,0.052,0.627,0.496,0.544,0.467,0.483,0.421,0.392,0.388,0.798,0.003,1.0,0.242,0.418,3.0,0.0,1669178,Gabe Vincent,https://www.basketball-reference.com/players/v/vincega01.html,1.5081132298945872,34943734,39937,1256,102,42537,1085,3272.076923076923,83.46153846153847
17,203506,Victor Oladipo,https://twitter.com/VicOladipo,VicOladipo,https://instagram.com/vicoladipo,vicoladipo,87874905,320805,4130,4969,903,43849,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2389641,Victor Oladipo,https://www.basketball-reference.com/players/o/oladivi01.html,10.617191283292978,23755775,1399343,698,414,135266,1392,18208.884615384613,187.3846153846154
18,1629657,Kyle Guy,https://twitter.com/kylejguy,kylejguy,https://instagram.com/kylejguy,kylejguy,316855068,45522,20897,631846,1074,42743,238,SG,24.0,MIA,14.0,0.0,175.0,26.0,60.0,0.433,14.0,35.0,0.4,12.0,25.0,0.48,0.55,7.0,10.0,0.7,2.0,11.0,13.0,17.0,7.0,1.0,12.0,12.0,73.0,18.0,0.417,0.117,0.183,0.033,0.083,0.583,0.48,0.857,0.091,0.5,0.8,0.4,0.5,0.786,0.0,0.0,0.257,0.444,0.0,0.0,425198,Kyle Guy,https://www.basketball-reference.com/players/g/guyky01.html,2.045413217208212,36664534,155565,1215,954,86838,959,6466.659574468085,71.41489361702128
19,200768,Kyle Lowry,https://twitter.com/Klow7,Klow7,https://instagram.com/kyle_lowry7,kyle_lowry7,28066436,921328,7274,11120,526,31571,427,PG,35.0,MIA,42.0,42.0,1420.0,181.0,435.0,0.416,87.0,258.0,0.337,94.0,177.0,0.531,0.516,96.0,113.0,0.85,25.0,158.0,183.0,338.0,46.0,15.0,126.0,115.0,545.0,19.4,0.407,0.117,0.103,0.094,0.092,0.593,0.531,0.745,0.467,0.39,0.475,0.337,0.309,0.678,0.0,0.0,0.155,0.375,2.0,0.0,26984128,Kyle Lowry,https://www.basketball-reference.com/players/l/lowryky01.html,4.340252955732747,1331661501,1567218,356,175,132535,1750,7862.245762711864,103.8135593220339
20,202693,Markieff Morris,https://twitter.com/Keefmorris,Keefmorris,https://instagram.com/keefmorris5.0,keefmorris5.0,167821244,96537,3556,8815,10447,62769,7394,PF,32.0,MIA,10.0,0.0,187.0,32.0,70.0,0.457,8.0,22.0,0.364,24.0,48.0,0.5,0.514,5.0,5.0,1.0,13.0,15.0,28.0,14.0,3.0,1.0,12.0,22.0,77.0,14.1,0.686,0.171,0.143,0.286,0.086,0.314,0.5,0.667,0.4,0.45,0.5,0.364,0.583,1.0,0.071,4.0,0.591,0.385,0.0,0.0,2641691,Markieff Morris,https://www.basketball-reference.com/players/m/morrima02.html,17.651574803149607,21979098,304914,661,846,7657,44,1848.2413793103449,10.620689655172413
21,1629644,KZ Okpala,https://twitter.com/kz_okpala_,kz_okpala_,https://instagram.com/kzokpala,kzokpala,3051672376,3311,28,0,0,0,0,PF,22.0,MIA,21.0,0.0,244.0,30.0,69.0,0.435,9.0,26.0,0.346,21.0,43.0,0.488,0.5,8.0,11.0,0.727,11.0,30.0,41.0,14.0,4.0,7.0,5.0,25.0,77.0,12.0,0.623,0.319,0.232,0.058,0.014,0.377,0.488,0.545,0.5,0.25,0.0,0.346,0.762,1.0,0.101,7.0,0.615,0.5,0.0,0.0,1782621,KZ Okpala,https://www.basketball-reference.com/players/o/okpalkz01.html,0.0,39828635,36804,686,28,12129,161,800.9716981132076,10.632075471698114
22,1628389,Bam Adebayo,https://twitter.com/Bam1of1,Bam1of1,https://instagram.com/Bam1of1,Bam1of1,555653709,207339,14210,63393,480,44321,158,C,24.0,MIA,30.0,30.0,985.0,205.0,396.0,0.518,0.0,3.0,0.0,205.0,393.0,0.522,0.518,139.0,180.0,0.772,80.0,219.0,299.0,106.0,47.0,19.0,89.0,96.0,549.0,7.1,0.992,0.402,0.28,0.215,0.096,0.008,0.522,0.774,0.333,0.353,0.395,0.0,0.61,0.0,0.172,63.0,0.0,0.0,1.0,0.0,28103500,Bam Adebayo,https://www.basketball-reference.com/players/a/adebaba01.html,3.119000703729768,176272488,823915,697,407,336542,2179,33180.19718309859,214.83098591549296
23,1629639,Tyler Herro,https://twitter.com/raf_tyler,raf_tyler,https://instagram.com/nolimitherro,nolimitherro,2352361094,333582,2915,19030,1953,37020,631,SG,22.0,MIA,45.0,10.0,1480.0,336.0,785.0,0.428,116.0,307.0,0.378,220.0,478.0,0.46,0.502,117.0,134.0,0.873,27.0,188.0,215.0,180.0,29.0,8.0,126.0,69.0,905.0,16.2,0.609,0.126,0.19,0.157,0.136,0.391,0.46,0.667,0.369,0.447,0.411,0.378,0.341,0.716,0.014,9.0,0.176,0.389,4.0,0.0,4004280,Tyler Herro,https://www.basketball-reference.com/players/h/herroty01.html,12.69982847341338,272817859,2364889,259,108,1789742,6817,147390.51764705882,561.4
24,1628997,Caleb Martin,https://twitter.com/Calebmartin14,Calebmartin14,https://instagram.com/caleb_martin10,caleb_martin10,538636537,13962,5742,94071,474,20257,201,SF,26.0,MIA,44.0,10.0,1009.0,161.0,318.0,0.506,44.0,116.0,0.379,117.0,202.0,0.579,0.575,51.0,69.0,0.739,56.0,118.0,174.0,46.0,42.0,21.0,35.0,71.0,417.0,12.2,0.635,0.381,0.157,0.031,0.066,0.365,0.579,0.752,0.26,0.2,0.524,0.379,0.581,0.932,0.104,28.0,0.422,0.367,1.0,0.0,462629,Caleb Martin,https://www.basketball-reference.com/players/m/martica02.html,3.5278648554510625,226939222,62381,992,25,13797,407,1420.279411764706,41.89705882352941
25,200782,P.J. Tucker,,,https://instagram.com/pjtucker,pjtucker,0,0,0,0,0,0,0,PF,36.0,MIA,48.0,47.0,1359.0,152.0,302.0,0.503,69.0,147.0,0.469,83.0,155.0,0.535,0.618,34.0,47.0,0.723,68.0,193.0,261.0,103.0,41.0,11.0,47.0,112.0,407.0,14.6,0.513,0.172,0.235,0.093,0.013,0.487,0.535,0.577,0.535,0.5,0.25,0.469,0.831,1.0,0.003,1.0,0.891,0.466,0.0,0.0,7000000,P.J. Tucker,https://www.basketball-reference.com/players/t/tuckepj01.html,,1818392454,995329,827,1062,214975,2449,45600.757575757576,519.4848484848485
26,203473,Dewayne Dedmon,https://twitter.com/d_dedmon3,d_dedmon3,https://instagram.com/d_dedmon3,d_dedmon3,249001367,17404,3949,403,67,2089,42,C,32.0,MIA,48.0,15.0,792.0,124.0,213.0,0.582,15.0,28.0,0.536,109.0,185.0,0.589,0.617,50.0,64.0,0.781,87.0,209.0,296.0,37.0,20.0,25.0,52.0,114.0,313.0,7.4,0.869,0.465,0.286,0.08,0.038,0.131,0.589,0.707,0.492,0.412,0.25,0.536,0.716,0.933,0.131,25.0,0.143,0.25,1.0,0.0,5256308,Dewayne Dedmon,https://www.basketball-reference.com/players/d/dedmode01.html,0.5289946821980248,19547914,58711,673,439,19798,297,1194.706896551724,17.92241379310345
27,202710,Jimmy Butler,https://twitter.com/JimmyButler,JimmyButler,https://instagram.com/jimmybutler,jimmybutler,255199842,798748,5412,292,303,2372,67,SF,32.0,MIA,36.0,36.0,1215.0,260.0,529.0,0.491,14.0,66.0,0.212,246.0,463.0,0.531,0.505,250.0,281.0,0.89,67.0,156.0,223.0,223.0,65.0,16.0,75.0,52.0,784.0,9.2,0.875,0.316,0.287,0.202,0.07,0.125,0.531,0.725,0.434,0.439,0.324,0.212,0.402,0.714,0.059,27.0,0.47,0.29,1.0,0.0,36016200,Jimmy Butler,https://www.basketball-reference.com/players/b/butleji01.html,0.4382852919438285,371120493,6582127,400,713,1135323,13221,256363.2580645161,2985.387096774193
28,1629735,Chris Silva,https://twitter.com/SilvaObame,SilvaObame,https://instagram.com/correiaysilva,correiaysilva,862216146,10438,2285,17824,134,6424,44,PF,25.0,TOT,10.0,0.0,91.0,8.0,15.0,0.533,0.0,0.0,,8.0,15.0,0.533,0.533,10.0,12.0,0.833,13.0,23.0,36.0,7.0,0.0,1.0,8.0,20.0,26.0,4.0,1.0,0.533,0.4,0.0,0.067,0.0,0.533,0.75,0.333,0.0,0.0,0.0,0.75,0.0,0.133,2.0,0.0,0.0,0.0,0.0,479650,Chris Silva,https://www.basketball-reference.com/players/s/silvach01.html,2.811378555798687,348550229,46350,897,331,13089,256,1006.8461538461538,19.692307692307693
29,1629622,Max Strus,,,https://instagram.com/maxstrus,maxstrus,0,0,0,0,0,0,0,SF,25.0,MIA,43.0,9.0,1038.0,167.0,376.0,0.444,116.0,283.0,0.41,51.0,93.0,0.548,0.598,31.0,40.0,0.775,19.0,124.0,143.0,56.0,14.0,9.0,34.0,73.0,481.0,20.4,0.247,0.152,0.072,0.019,0.005,0.753,0.548,0.649,0.407,0.286,0.5,0.41,0.804,0.966,0.011,3.0,0.254,0.486,1.0,0.0,1669178,Max Strus,https://www.basketball-reference.com/players/s/strusma01.html,,13778404988,48724,822,42,101484,1561,5969.64705882353,91.82352941176472
30,2617,Udonis Haslem,https://twitter.com/ThisIsUD,ThisIsUD,https://instagram.com/ud40,ud40,388014562,401130,650,1603,265,5322,88,C,41.0,MIA,9.0,0.0,57.0,11.0,22.0,0.5,1.0,2.0,0.5,10.0,20.0,0.5,0.523,3.0,3.0,1.0,4.0,14.0,18.0,3.0,1.0,1.0,3.0,11.0,26.0,6.7,0.909,0.545,0.182,0.136,0.045,0.091,0.5,0.667,0.0,0.667,0.0,0.5,0.8,1.0,0.0,0.0,1.0,0.5,0.0,0.0,2641691,Udonis Haslem,https://www.basketball-reference.com/players/h/hasleud01.html,8.187692307692307,487672208,604079,1979,1103,76884,970,19221.0,242.5
31,1629130,Duncan Robinson,https://twitter.com/D_Bo20,D_Bo20,https://instagram.com/d_bo20,d_bo20,277095600,46566,764,559,287,1687,76,SG,27.0,MIA,52.0,47.0,1425.0,205.0,520.0,0.394,158.0,437.0,0.362,47.0,83.0,0.566,0.546,37.0,45.0,0.822,19.0,139.0,158.0,78.0,33.0,11.0,45.0,137.0,605.0,22.3,0.16,0.083,0.046,0.015,0.015,0.84,0.566,0.674,0.375,0.625,0.5,0.362,0.83,0.962,0.002,1.0,0.24,0.4,0.0,0.0,15650000,Duncan Robinson,https://www.basketball-reference.com/players/r/robindu01.html,2.2081151832460733,36311809,306485,1436,39,53326,1302,3136.823529411765,76.58823529411765
32,1630209,Omer Yurtseven,https://twitter.com/OmerYurtseven5,OmerYurtseven5,https://instagram.com/omeryurtseven,omeryurtseven,889322832,14592,335,2127,422,13838,102,C,23.0,MIA,39.0,10.0,558.0,101.0,193.0,0.523,1.0,7.0,0.143,100.0,186.0,0.538,0.526,32.0,50.0,0.64,67.0,167.0,234.0,42.0,15.0,18.0,34.0,68.0,235.0,5.7,0.964,0.435,0.383,0.119,0.026,0.036,0.538,0.679,0.446,0.435,0.0,0.143,0.75,1.0,0.192,32.0,0.286,0.0,0.0,0.0,1489065,Omer Yurtseven,https://www.basketball-reference.com/players/y/yurtsom01.html,41.30746268656716,487478685,67246,548,66,125880,1728,20980.0,288.0
33,1630792,Malcolm Hill,https://twitter.com/Malcolmillini21,Malcolmillini21,https://instagram.com/malcolmillini21,malcolmillini21,292073449,9770,6713,588,1,69,0,SF-SG,26.0,TOT,14.0,0.0,176.0,21.0,43.0,0.488,12.0,29.0,0.414,9.0,14.0,0.643,0.628,10.0,12.0,0.833,10.0,17.0,27.0,4.0,6.0,3.0,2.0,20.0,64.0,18.9,0.326,0.116,0.14,0.023,0.047,0.674,0.643,0.6,0.667,0.0,1.0,0.414,0.667,0.833,0.0,0.0,0.379,0.636,0.0,0.0,324373,Malcolm Hill,https://www.basketball-reference.com/players/h/hillma01.html,0.0102785639803366,190381346,14788,1264,107,23893,705,1506.7657657657658,44.45945945945946
34,1629632,Coby White,https://twitter.com/CobyWhite,CobyWhite,https://instagram.com/cobywhite,cobywhite,3051555746,67541,2991,79564,127,6278,58,PG,21.0,CHI,35.0,12.0,961.0,164.0,375.0,0.437,72.0,199.0,0.362,92.0,176.0,0.523,0.533,53.0,63.0,0.841,10.0,86.0,96.0,92.0,16.0,10.0,43.0,78.0,453.0,17.0,0.469,0.187,0.149,0.064,0.069,0.531,0.523,0.671,0.393,0.417,0.5,0.362,0.457,0.889,0.011,4.0,0.221,0.455,0.0,0.0,5837760,Coby White,https://www.basketball-reference.com/players/w/whiteco01.html,2.0989635573386827,2251707933,450977,3073,147,77000,607,16333.333333333332,128.75757575757575
35,1628366,Lonzo Ball,https://twitter.com/ZO2_,ZO2_,https://instagram.com/zo,zo,909102066,1301212,4506,24744,1059,122713,988,PG,24.0,CHI,35.0,35.0,1212.0,162.0,383.0,0.423,110.0,260.0,0.423,52.0,123.0,0.423,0.567,21.0,28.0,0.75,35.0,155.0,190.0,178.0,64.0,31.0,82.0,85.0,455.0,19.9,0.321,0.154,0.047,0.057,0.063,0.679,0.423,0.61,0.333,0.273,0.167,0.423,0.404,0.845,0.018,6.0,0.235,0.475,2.0,0.0,18604651,Lonzo Ball,https://www.basketball-reference.com/players/b/balllo01.html,27.233244562805147,243382891,12693058,688,291,4991501,16207,309208.0265486726,1003.9734513274336
36,1627884,Derrick Jones Jr.,https://twitter.com/TheRea1DJones,TheRea1DJones,https://instagram.com/therea1djones,therea1djones,2952137993,32852,680,2135,0,0,0,PF,24.0,CHI,31.0,8.0,533.0,71.0,122.0,0.582,15.0,37.0,0.405,56.0,85.0,0.659,0.643,39.0,46.0,0.848,37.0,67.0,104.0,16.0,15.0,23.0,16.0,71.0,196.0,8.9,0.697,0.549,0.131,0.008,0.008,0.303,0.659,0.746,0.25,1.0,1.0,0.405,0.714,1.0,0.221,26.0,0.703,0.462,0.0,0.0,9720900,Derrick Jones Jr.,https://www.basketball-reference.com/players/j/jonesde02.html,0.0,2192905609,434336,780,88,103694,666,6912.933333333333,44.4
37,1627936,Alex Caruso,https://twitter.com/ACFresh21,ACFresh21,https://instagram.com/acfresh21,acfresh21,255792011,358638,5771,194031,5028,600737,2725,SG,27.0,CHI,28.0,9.0,775.0,78.0,182.0,0.429,30.0,87.0,0.345,48.0,95.0,0.505,0.511,48.0,59.0,0.814,25.0,83.0,108.0,109.0,54.0,11.0,40.0,68.0,234.0,14.9,0.522,0.28,0.143,0.049,0.049,0.478,0.505,0.608,0.385,0.444,0.333,0.345,0.604,0.933,0.027,4.0,0.414,0.417,1.0,0.0,8600000,Alex Caruso,https://www.basketball-reference.com/players/c/carusal01.html,104.09582394732284,23506229,1685824,652,151,1238563,5729,91262.53684210528,422.1368421052632
